, opt_13b, , , , , , Geomean, , , , , 
Static, 0.39774, 22.28976, 33.76437, 0.39774, 22.28976, 33.76437, 
Dram, 0.10759, 11.05550, 16.84054, 0.50533, 33.34526, 50.60491, 
Buffer, 0.23992, 14.03264, 31.15812, 0.74525, 47.37790, 81.76303, 
Core, 0.25475, 14.27659, 33.65173, 1.00000, 61.65449, 115.41477, 
, llama_7b, , , , , , Geomean, , , , , 
, ant, giant, bit, ant, giant, bit, 
Time, 1.00000, 0.00781, 0.02122, 1.00000, 0.00781, 0.02122, , llama_7b, , , , , , Geomean, , , , , 
, ant, giant, bit, ant, giant, bit, 
Static, 0.39774, 0.00311, 0.00844, 0.39774, 0.00311, 0.00844, 
Dram, 0.10759, 0.00052, 0.00207, 0.50533, 0.00362, 0.01051, 
Buffer, 0.23992, 0.00012, 0.00036, 0.74525, 0.00374, 0.01086, 
Core, 0.25475, 0.00310, 0.00963, 1.00000, 0.00684, 0.02049, 
, llama_7b, , , , , , Geomean, , , , , 
, ant, giant, bit, ant, giant, bit, 
Time, 1.00000, 0.00098, 0.00265, 1.00000, 0.00098, 0.00265, , llama_7b, , , , , , Geomean, , , , , 
, ant, giant, bit, ant, giant, bit, 
Static, 0.36230, 0.00035, 0.00096, 0.36230, 0.00035, 0.00096, 
Dram, 0.18786, 0.00006, 0.00043, 0.55016, 0.00041, 0.00139, 
Buffer, 0.21779, 0.00008, 0.00024, 0.76794, 0.00049, 0.00163, 
Core, 0.23206, 0.00035, 0.00110, 1.00000, 0.00085, 0.00272, 
, llama_7b, , , , , , Geomean, , , , , 
, ant, giant, bit, ant, giant, bit, 
Time, 1.00000, 0.00024, 0.00133, 1.00000, 0.00024, 0.00133, , llama_7b, , , , , , Geomean, , , , , 
, ant, giant, bit, ant, giant, bit, 
Static, 0.36226, 0.00009, 0.00048, 0.36226, 0.00009, 0.00048, 
Dram, 0.18768, 0.00003, 0.00012, 0.54994, 0.00012, 0.00060, 
Buffer, 0.21803, 0.00008, 0.00021, 0.76797, 0.00020, 0.00082, 
Core, 0.23203, 0.00009, 0.00055, 1.00000, 0.00029, 0.00137, 
, llama_7b, , , , , , Geomean, , , , , 
, ant, giant, bit, ant, giant, bit, 
Time, 1.00000, 0.00024, 0.00133, 1.00000, 0.00024, 0.00133, , llama_7b, , , , , , Geomean, , , , , 
, ant, giant, bit, ant, giant, bit, 
Static, 0.36226, 0.00009, 0.00048, 0.36226, 0.00009, 0.00048, 
Dram, 0.18768, 0.00003, 0.00012, 0.54994, 0.00012, 0.00060, 
Buffer, 0.21803, 0.00008, 0.00021, 0.76797, 0.00020, 0.00082, 
Core, 0.23203, 0.00009, 0.00055, 1.00000, 0.00029, 0.00137, 
, llama_7b, , , , , , Geomean, , , , , 
, ant, giant, bit, ant, giant, bit, 
Time, 1.00000, 0.00781, 0.02122, 1.00000, 0.00781, 0.02122, , llama_7b, , , , , , Geomean, , , , , 
, ant, giant, bit, ant, giant, bit, 
Static, 0.39774, 0.00311, 0.00844, 0.39774, 0.00311, 0.00844, 
Dram, 0.10759, 0.00052, 0.00207, 0.50533, 0.00362, 0.01051, 
Buffer, 0.23992, 0.00012, 0.00036, 0.74525, 0.00374, 0.01086, 
Core, 0.25475, 0.00310, 0.00963, 1.00000, 0.00684, 0.02049, 
, llama_7b, , , , , , Geomean, , , , , 
, ant, giant, bit, ant, giant, bit, 
Time, 1.00000, 0.00098, 0.00265, 1.00000, 0.00098, 0.00265, , llama_7b, , , , , , Geomean, , , , , 
, ant, giant, bit, ant, giant, bit, 
Static, 0.36230, 0.00035, 0.00096, 0.36230, 0.00035, 0.00096, 
Dram, 0.18786, 0.00006, 0.00043, 0.55016, 0.00041, 0.00139, 
Buffer, 0.21779, 0.00008, 0.00024, 0.76794, 0.00049, 0.00163, 
Core, 0.23206, 0.00035, 0.00110, 1.00000, 0.00085, 0.00272, 
, llama_7b, , , , , , Geomean, , , , , 
, ant, giant, bit, ant, giant, bit, 
Time, 1.00000, 0.00024, 0.00133, 1.00000, 0.00024, 0.00133, , llama_7b, , , , , , Geomean, , , , , 
, ant, giant, bit, ant, giant, bit, 
Static, 0.36226, 0.00009, 0.00048, 0.36226, 0.00009, 0.00048, 
Dram, 0.18768, 0.00003, 0.00012, 0.54994, 0.00012, 0.00060, 
Buffer, 0.21803, 0.00008, 0.00021, 0.76797, 0.00020, 0.00082, 
Core, 0.23203, 0.00009, 0.00055, 1.00000, 0.00029, 0.00137, 
, llama_7b, , , , , , Geomean, , , , , 
, ant, giant, bit, ant, giant, bit, 
Time, 1.00000, 0.00024, 0.00049, 1.00000, 0.00024, 0.00049, , llama_7b, , , , , , Geomean, , , , , 
, ant, giant, bit, ant, giant, bit, 
Static, 0.36226, 0.00009, 0.00018, 0.36226, 0.00009, 0.00018, 
Dram, 0.18768, 0.00003, 0.00009, 0.54994, 0.00012, 0.00027, 
Buffer, 0.21803, 0.00008, 0.00021, 0.76797, 0.00020, 0.00048, 
Core, 0.23203, 0.00009, 0.00054, 1.00000, 0.00029, 0.00101, 
, llama_7b, , , , , , Geomean, , , , , 
, ant, giant, bit, ant, giant, bit, 
Time, 1.00000, 0.00781, 0.01563, 1.00000, 0.00781, 0.01563, , llama_7b, , , , , , Geomean, , , , , 
, ant, giant, bit, ant, giant, bit, 
Static, 0.39774, 0.00311, 0.00622, 0.39774, 0.00311, 0.00622, 
Dram, 0.10759, 0.00052, 0.00207, 0.50533, 0.00362, 0.00828, 
Buffer, 0.23992, 0.00012, 0.00035, 0.74525, 0.00374, 0.00864, 
Core, 0.25475, 0.00310, 0.01892, 1.00000, 0.00684, 0.02755, 
, llama_7b, , , , , , Geomean, , , , , 
, ant, giant, bit, ant, giant, bit, 
Time, 1.00000, 0.00781, 0.00782, 1.00000, 0.00781, 0.00782, , llama_7b, , , , , , Geomean, , , , , 
, ant, giant, bit, ant, giant, bit, 
Static, 0.39774, 0.00311, 0.00311, 0.39774, 0.00311, 0.00311, 
Dram, 0.10759, 0.00052, 0.00207, 0.50533, 0.00362, 0.00518, 
Buffer, 0.23992, 0.00012, 0.00035, 0.74525, 0.00374, 0.00553, 
Core, 0.25475, 0.00310, 0.03783, 1.00000, 0.00684, 0.04336, 
, llama_7b, , , , , , Geomean, , , , , 
, ant, giant, bit, ant, giant, bit, 
Time, 1.00000, 0.00781, 0.01563, 1.00000, 0.00781, 0.01563, , llama_7b, , , , , , Geomean, , , , , 
, ant, giant, bit, ant, giant, bit, 
Static, 0.39774, 0.00311, 0.00622, 0.39774, 0.00311, 0.00622, 
Dram, 0.10759, 0.00052, 0.00207, 0.50533, 0.00362, 0.00828, 
Buffer, 0.23992, 0.00012, 0.00035, 0.74525, 0.00374, 0.00864, 
Core, 0.25475, 0.00310, 0.01892, 1.00000, 0.00684, 0.02755, 
, llama_7b, , , , , , Geomean, , , , , 
, ant, giant, bit, ant, giant, bit, 
Time, 1.00000, 0.00781, 0.01563, 1.00000, 0.00781, 0.01563, , llama_7b, , , , , , Geomean, , , , , 
, ant, giant, bit, ant, giant, bit, 
Static, 0.39774, 0.00311, 0.00622, 0.39774, 0.00311, 0.00622, 
Dram, 0.10759, 0.00052, 0.00207, 0.50533, 0.00362, 0.00828, 
Buffer, 0.23992, 0.00012, 0.00035, 0.74525, 0.00374, 0.00864, 
Core, 0.25475, 0.00310, 0.01892, 1.00000, 0.00684, 0.02755, 
, llama_7b, , , , , , Geomean, , , , , 
, ant, giant, bit, ant, giant, bit, 
Time, 1.00000, 0.00781, 0.00782, 1.00000, 0.00781, 0.00782, , llama_7b, , , , , , Geomean, , , , , 
, ant, giant, bit, ant, giant, bit, 
Static, 0.39774, 0.00311, 0.00311, 0.39774, 0.00311, 0.00311, 
Dram, 0.10759, 0.00052, 0.00207, 0.50533, 0.00362, 0.00518, 
Buffer, 0.23992, 0.00012, 0.00035, 0.74525, 0.00374, 0.00553, 
Core, 0.25475, 0.00310, 0.03783, 1.00000, 0.00684, 0.04336, 
, llama_7b, , , , , , Geomean, , , , , 
, ant, giant, bit, ant, giant, bit, 
Time, 1.00000, 0.00781, 0.00782, 1.00000, 0.00781, 0.00782, , llama_7b, , , , , , Geomean, , , , , 
, ant, giant, bit, ant, giant, bit, 
Static, 0.39774, 0.00311, 0.00311, 0.39774, 0.00311, 0.00311, 
Dram, 0.10759, 0.00052, 0.00207, 0.50533, 0.00362, 0.00518, 
Buffer, 0.23992, 0.00012, 0.00035, 0.74525, 0.00374, 0.00553, 
Core, 0.25475, 0.00310, 0.03783, 1.00000, 0.00684, 0.04336, 
, llama_7b, , , , , , Geomean, , , , , 
, ant, giant, bit, ant, giant, bit, 
Time, 1.00000, 0.00781, 0.06252, 1.00000, 0.00781, 0.06252, , llama_7b, , , , , , Geomean, , , , , 
, ant, giant, bit, ant, giant, bit, 
Static, 0.39774, 0.00311, 0.02487, 0.39774, 0.00311, 0.02487, 
Dram, 0.10759, 0.00052, 0.00207, 0.50533, 0.00362, 0.02693, 
Buffer, 0.23992, 0.00012, 0.00035, 0.74525, 0.00374, 0.02729, 
Core, 0.25475, 0.00310, 0.08827, 1.00000, 0.00684, 0.11555, 
, llama_7b, , , , , , Geomean, , , , , 
, ant, giant, bit, ant, giant, bit, 
Time, 1.00000, 0.00781, 0.06252, 1.00000, 0.00781, 0.06252, , llama_7b, , , , , , Geomean, , , , , 
, ant, giant, bit, ant, giant, bit, 
Static, 0.39774, 0.00311, 0.02487, 0.39774, 0.00311, 0.02487, 
Dram, 0.10759, 0.00052, 0.00207, 0.50533, 0.00362, 0.02693, 
Buffer, 0.23992, 0.00012, 0.00035, 0.74525, 0.00374, 0.02729, 
Core, 0.25475, 0.00310, 0.02972, 1.00000, 0.00684, 0.05701, 
, llama_7b, , , , , , Geomean, , , , , 
, ant, giant, bit, ant, giant, bit, 
Time, 1.00000, 0.01564, 0.06252, 1.00000, 0.01564, 0.06252, , llama_7b, , , , , , Geomean, , , , , 
, ant, giant, bit, ant, giant, bit, 
Static, 0.39774, 0.00622, 0.02487, 0.39774, 0.00622, 0.02487, 
Dram, 0.10759, 0.00052, 0.00207, 0.50533, 0.00674, 0.02693, 
Buffer, 0.23992, 0.00012, 0.00035, 0.74525, 0.00686, 0.02729, 
Core, 0.25475, 0.00336, 0.02972, 1.00000, 0.01021, 0.05701, 
, llama_7b, , , , , , Geomean, , , , , 
, ant, giant, bit, ant, giant, bit, 
Time, 1.00000, 0.01564, 0.01564, 1.00000, 0.01564, 0.01564, , llama_7b, , , , , , Geomean, , , , , 
, ant, giant, bit, ant, giant, bit, 
Static, 0.39774, 0.00622, 0.00622, 0.39774, 0.00622, 0.00622, 
Dram, 0.10759, 0.00052, 0.00052, 0.50533, 0.00674, 0.00674, 
Buffer, 0.23992, 0.00012, 0.00009, 0.74525, 0.00686, 0.00683, 
Core, 0.25475, 0.00336, 0.00743, 1.00000, 0.01021, 0.01426, 
, llama_7b, , , , , , Geomean, , , , , 
, ant, giant, bit, ant, giant, bit, 
Time, 1.00000, 0.01564, 0.01564, 1.00000, 0.01564, 0.01564, , llama_7b, , , , , , Geomean, , , , , 
, ant, giant, bit, ant, giant, bit, 
Static, 0.39774, 0.00622, 0.00622, 0.39774, 0.00622, 0.00622, 
Dram, 0.10759, 0.00052, 0.00052, 0.50533, 0.00674, 0.00674, 
Buffer, 0.23992, 0.00012, 0.00009, 0.74525, 0.00686, 0.00683, 
